area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
1850,3,Mumbai,6.75,Cr,Apartment,2026-02-19T16:42:06.513579,"3 BHK  2100 Sq-ft  Flat  For SaleMahalakshmi, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-2100-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahalakshmi-in-Mumbai&id=4d423831373633393039
1250,3,New Delhi,2.30,Cr,Apartment,2026-02-19T16:42:08.228954,"3 BHK  1300 Sq-ft  Flat  For SaleSector 13 Rohini, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Rohini-Sector-13-in-New-Delhi&id=4d423833303038303733
1222,3,Road in Bangalore,2.20,Cr,Apartment,2026-02-19T16:42:09.433280,"3 BHK  1630 Sq-ft  Flat  For SaleHennur Main Road, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1630-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423833343134383335
906,3,Mumbai,3.25,Cr,Apartment,2026-02-19T16:42:09.983547,"3 BHK  1206 Sq-ft  Flat  For SaleGoregaon West, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1206-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423832353231333037
583,2,Gurgaon,65.0,Lac,Apartment,2026-02-19T16:42:11.742810,"2 BHK Flat For Sale inthe SERANAS sector 35, Gurgaon",https://www.magicbricks.com/propertyDetails/2-BHK-683-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Gurgaon&id=4d423832333437303033
946,3,Bangalore,96.1,Lac,Apartment,2026-02-19T16:42:14.147827,"3 BHK Flat For Sale in Casagrand Zaiden,Uttarahalli Manavarthekaval, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-946-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttarahalli-Manavarthekaval-in-Bangalore&id=4d423833333839313833
1300,3,Mumbai,9.10,Cr,Apartment,2026-02-19T16:42:15.044939,"3 BHK  1300 Sq-ft  Flat  For SaleWorli, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Worli-in-Mumbai&id=4d423830393633333837
200,3,New Delhi,2.8,Lac,Apartment,2026-02-19T16:42:15.430871,"3 BHK Builder Floor For Sale inKirti Nagar, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-200-Sq-yrd-Builder-Floor-Apartment-FOR-Sale-Kirti-Nagar-in-New-Delhi&id=4d423536393139373439
626,2,Bangalore,1.30,Cr,Apartment,2026-02-19T16:42:18.518616,"2 BHK  1058 Sq-ft  Flat  For SaleThanisandra, Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1058-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-in-Bangalore&id=4d423833323335363133
850,2,Mumbai,5.0,Cr,Apartment,2026-02-19T16:42:21.333551,"2 BHK  950 Sq-ft  Flat  For Sale inJuhu, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Juhu-in-Mumbai&id=4d423831323930393739
900,2,New Delhi,1.36,Cr,Apartment,2026-02-19T16:42:22.403175,"2 BHK  1000 Sq-ft  Flat  For SaleIndraprastha, New Delhi",https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Indraprastha-in-New-Delhi&id=4d423832383932323631
2072,3,Bangalore,4.15,Cr,Apartment,2026-02-19T16:42:24.147444,"3 BHK Flat For Sale inPrestige ShantiniketanWhitefield, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2072-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423830303437363737
650,2,Mumbai,2.10,Cr,Villa,2026-02-19T16:42:28.408614,"2 BHK Flat For Sale inDLH MetroviewAndheri West, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423830343737303839
1750,3,Noida,2.44,Cr,Apartment,2026-02-19T16:42:29.035569,"3 BHK Flat For Sale inSupertech Emerald CourtSector 93A, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-93A-in-Noida&id=4d423830313331383435
1639,3,Bangalore,4.10,Cr,Apartment,2026-02-19T16:42:30.143881,"3 BHK  2315 Sq-ft  Flat  For SaleBellandur, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2315-Sq-ft-Multistorey-Apartment-FOR-Sale-Bellandur-in-Bangalore&id=4d423831383033333933
750,2,Gurgaon,1.60,Cr,Apartment,2026-02-19T16:42:34.068333,"2 BHK  1099 Sq-ft  Flat  For SaleSector 104, Gurgaon",https://www.magicbricks.com/propertyDetails/2-BHK-1099-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-104-in-Gurgaon&id=4d423830313331383139
